Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 21.62      0.08     0.08                             llhttp__internal__run
 16.22      0.14     0.06        1    60.00    60.00  _init
 10.81      0.18     0.04    54588     0.00     0.00  titan::core::Server::handle_backend_event(int, bool, bool, bool)
  8.11      0.21     0.03                             titan::runtime::run_worker_thread(titan::control::Config const&, int)
  5.41      0.23     0.02   130184     0.00     0.00  titan::http::Response::add_header(std::basic_string_view<char, std::char_traits<char> >, std::basic_string_view<char, std::char_traits<char> >)
  5.41      0.25     0.02                             llhttp__internal_init
  2.70      0.26     0.01  1196320     0.00     0.00  titan::core::close_fd(int)
  2.70      0.27     0.01   914014     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  2.70      0.28     0.01   218174     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(char const*, unsigned long, std::allocator<char> const&)
  2.70      0.29     0.01   186494     0.00     0.00  titan::http::Parser::on_header_value(llhttp__internal_s*, char const*, unsigned long)
  2.70      0.30     0.01   108315     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_assign(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
